#Best run for each simulation of the study Legrain et al., (2023): A gradual change is more likely to have caused the Mid-Pleistocene Transition than an abrupt event;;;;;;;;
;;;;;;;;
Age (ka);ORB simulation Ice volume (m sl);ABR simulation Ice volume (m sl);GRAD simulation Ice volume (m sl);ABRkO simulation Ice volume (m sl);GRADkO simulation Ice volume (m sl);ABRag Ice volume (m sl);GRADag Ice volume (m sl);SYN simulation Ice volume (m sl)
1839;30.70981895;28.03317876;23.50064572;22.21172759;24.03241808;22.90434734;20.78135429;11.7537172
1838;32.43771246;28.24084334;24.12405216;23.29621509;26.24424325;22.19198364;21.29366737;12.92284921
1837;33.35467705;28.21106955;24.20606811;24.36246864;28.27150585;21.2249881;21.37565942;14.20933177
1836;33.39189672;28.0592685;23.78513734;25.39160863;30.01331825;20.1523646;21.030044;15.59830493
1835;32.67343669;27.93646916;23.01539158;26.37184326;31.42607762;19.15729266;20.35609943;17.07663895
1834;31.40016018;27.98921173;22.08607172;27.29602265;32.49888401;18.41399633;19.48555552;18.6335625
1833;29.81446986;25.03690968;20.60736927;28.16115907;33.24756415;18.07109069;18.5621363;20.2602072
1832;28.1753443;22.17794593;16.75057972;28.96900876;33.71547834;18.22822694;17.72398326;21.94950212
1831;26.72256655;20.00280094;13.68712706;29.72984758;33.99008188;18.86905295;17.06994271;23.69383002
1830;25.65296703;18.35046007;11.36531822;30.45928756;34.18352439;19.88458292;16.65485606;25.4732643
1829;25.1299679;17.08722709;9.730112773;31.16994083;34.38905859;21.17863644;16.52137171;27.25132332
1828;25.27428126;16.11892306;8.727801416;31.86930862;34.66853436;22.68873618;16.70136397;28.98067954
1827;26.1418277;17.57319301;8.58998808;32.56060869;35.05423124;24.36443119;17.200506;30.60472651
1826;27.66760458;19.52723672;10.39937136;33.24265527;35.54212585;26.13633143;17.9650003;32.05894402
1825;29.63860653;21.43353592;12.44995715;33.91097774;36.09220413;27.9005231;18.86726291;33.2733315
1824;31.8174582;23.18849254;14.56414086;34.56282051;36.66610054;29.54248868;19.76940412;34.17619982
1823;34.03319891;24.69118906;16.59693922;35.20015205;37.25463793;30.94567262;20.56509814;34.70014801
1822;36.16015732;25.83304278;18.42012365;35.8290205;37.87335637;31.98076768;21.16642484;34.79877314
1821;38.09856956;26.50774519;19.91863821;36.45742879;38.54928387;32.51877439;21.49841049;34.45885637
1820;39.7763922;26.67149068;21.02720818;37.08923864;39.28867865;32.50423859;21.51883792;33.6962947
1819;41.1401066;26.35770353;21.7344991;37.7221992;40.06548794;31.97352528;21.21888499;32.550288
1818;42.12814345;25.63081994;22.0428186;38.35110104;40.83568593;31.00001502;20.59665832;31.07319802
1817;42.65834461;24.56699122;21.95066817;38.96894128;41.54245403;29.67140878;19.64543154;29.32149823
1816;42.62809794;23.24803641;21.44922951;39.5675475;42.11952708;28.08236886;18.35179034;27.35401966
1815;41.97264301;21.7692845;20.55573817;40.13990514;42.50973388;26.34148065;16.72378001;25.23179081
1814;40.74171575;20.24678753;19.35552442;40.68352993;42.69104682;24.57664421;14.82692362;23.01832582
1813;39.07231753;18.80681998;17.98251919;36.37858786;42.67125935;22.92370496;12.76878857;20.77985365
1812;36.27952975;17.56635953;16.57919007;31.69603042;41.54220472;21.50583506;10.66667382;18.58450126
1811;29.6365809;16.622688;15.28394784;27.5733619;36.03376394;20.42185015;8.638110644;16.50182538
1810;23.81141374;16.04972532;14.22191615;23.95013145;31.03201296;19.74261979;6.793115413;14.60010743
1809;18.86822261;15.87958559;13.48540363;20.77607429;26.54657435;19.48963583;5.220394962;12.93424955
1808;14.83756034;16.09898711;13.12674822;18.0094134;22.59698072;19.63144516;3.981303812;11.54122096
1807;11.71987243;16.68344221;13.17845953;15.61246608;19.19367176;20.12535635;3.120429913;10.44546969
1806;9.486249057;17.6123379;13.66100964;13.54953665;16.33018321;20.93601403;2.669191604;9.660122124
1805;8.362115982;18.86295517;14.57710395;11.78681369;13.98562057;22.02867304;2.641572988;9.187742275
1804;9.35206194;20.40785784;15.90856014;12.08009173;12.48960197;23.36632942;3.031694441;9.02166225
1803;10.88978207;22.19895239;17.59524285;12.80664002;13.159438;24.89466836;3.794469641;9.147882257
1802;12.85495169;24.16531501;19.54082038;13.58530771;14.05399938;26.53967782;4.850155252;9.545309864
1801;15.12497112;26.23154787;21.64674392;14.4116964;15.14847146;28.22417629;6.115231872;10.17665938
1800;17.59084885;28.32518011;23.8233042;15.28149881;16.42066406;29.87450127;7.512745688;10.99324186
1799;20.15878022;30.37786833;25.99075775;16.19076829;17.85197371;31.42139289;8.973700378;11.95612001
1798;22.74868759;32.33526215;28.08407606;17.13514987;19.42246463;32.81153422;10.43986279;13.04303991
1797;25.29419775;34.16853945;30.05964813;18.10880022;21.1048947;34.02141747;11.86750507;14.24054375
1796;27.73986506;35.87048761;31.8916227;19.1046126;22.86567946;35.05274412;13.22491525;15.53629072
1795;30.03773406;37.4481153;33.5657908;20.11482823;24.66770845;35.92352347;14.48858918;16.91806393
1794;32.14584143;38.91420767;35.07396343;21.13171944;26.47404052;36.65803158;15.63979706;18.37404402
1793;34.02882551;40.28171005;36.41111476;22.14805302;28.25073953;37.28018956;16.66292747;19.89340737
1792;35.66331021;41.56755202;37.58032675;23.15696534;29.96682096;37.81801469;17.54904326;21.466854
1791;37.04123761;42.78870039;38.59224103;24.15241952;31.59730248;38.29887845;18.29597117;23.08611937
1790;38.17445089;43.95987851;39.46611471;25.12955863;33.12583193;38.74673756;18.90946797;24.74386203
1789;39.08631225;45.09628523;40.22738051;26.08391017;34.5397043;39.18592304;19.40032074;26.43132262
1788;39.80052721;46.20726432;40.89859826;27.01125747;35.82836876;39.63422429;19.77724321;28.12658004
1787;40.33890163;47.29541546;41.49792828;27.90752103;36.98274617;40.10205378;20.04551521;29.79037363
1786;40.72425242;48.36244626;42.04396505;28.76837299;37.99335984;40.59934331;20.21017321;31.37198732
1785;40.98548234;49.43540658;42.57373341;29.58686357;38.83813014;41.16717;20.28657907;32.81118247
1784;41.13524169;49.33111889;38.02965202;30.36152925;39.52303624;41.7692418;20.26228803;34.04020684
1783;41.18923173;43.90195099;33.08808008;31.09158096;40.05740537;42.36585953;20.12574701;34.98718061
1782;41.1852316;39.04278561;28.75613786;31.77284227;40.43213971;42.9838768;19.89455184;35.58106088
1781;41.1648718;34.68416033;24.9764567;32.40699262;40.66273113;43.61744217;19.58447414;35.76813846
1780;41.18233202;30.77532415;21.70734261;32.99847597;40.77392244;44.26876653;19.22382245;35.52652054
1779;41.29396001;27.27168953;18.91190206;33.55308416;40.79519416;44.93848806;18.84335278;34.85885378
1778;41.55441249;24.13377962;16.55597225;34.07757046;40.75880956;45.62546019;18.47411176;33.78871742
1777;42.00912518;21.32640357;14.60398637;34.57915555;40.69657354;46.32724235;18.14403291;32.36252073
1776;42.66973723;19.31344689;13.41084781;35.06488968;40.63457228;47.02952682;17.86357972;30.63919277
1775;43.51789537;19.92824395;14.45368609;35.54167771;40.59405178;47.70640471;17.62729141;28.68097861
1774;44.51957896;20.47697066;15.55293358;36.01658446;40.5948162;48.32394511;17.42099895;26.55154981
1773;45.63031821;20.92920407;16.66047912;36.49727195;40.65860138;48.83567368;17.22266168;24.31573088
1772;46.77140657;21.14494661;17.64663806;37.0006009;40.85297016;49.0636231;16.96033955;22.03969852
1771;47.92084275;21.18175884;18.52663182;37.52631716;41.16004935;49.06755337;16.64957931;19.79114805
1770;49.05765362;21.11248668;19.32560972;38.072347;41.553017;48.9262856;16.31089285;17.63844262
1769;50.10294993;20.83721809;19.93853406;38.65059961;42.07475925;48.51200855;15.88406765;15.65013943
1768;50.99896451;20.37483629;20.34156896;39.2616056;42.7104403;47.84107824;15.35538331;13.89230787
1767;51.66819743;19.75484689;20.50816117;39.90314511;43.42974061;46.9446412;14.70516772;12.41647768
1766;52.01020916;19.01824441;20.40804962;40.56992233;44.18491874;45.86993703;13.90659258;11.25516378
1765;51.92542559;18.22155559;20.02139483;41.25442524;44.91790766;44.68417159;12.937427;10.42738294
1764;51.38285142;17.44431429;19.37656311;41.94980141;45.58275698;43.48060625;11.81221654;9.939980728
1763;50.43366547;16.78901823;18.55684995;42.65054947;46.15083857;42.37797463;10.58821043;9.788537585
1762;48.09534489;16.36680998;17.67690555;43.35227419;46.60642818;41.5045204;9.347228013;9.958863042
1761;40.73403021;16.28273738;16.86845764;44.05246093;46.94986317;40.98076594;8.185803903;10.42622273
1760;34.1973542;16.62598375;16.27145156;44.75004307;42.32288015;40.9096091;7.207325895;11.14602471
1759;28.56505582;17.42760894;15.99746493;45.44817164;37.22927056;41.32641231;6.497805354;12.06090603
1758;23.89859456;18.65095844;16.1139157;46.15550286;32.69595946;42.18605493;6.116412291;13.11867908
1757;20.24536398;20.24507962;16.67608535;46.88171001;28.73675918;43.42642419;6.114433988;14.28146933
1756;18.09935424;22.1697768;17.73560558;47.6344211;25.35140561;44.99916351;6.537876466;15.52986645
1755;19.22565626;24.39036229;19.32800853;48.41876737;23.08132212;46.8640804;7.417512991;16.85398526
1754;21.13553354;26.85823119;21.43359409;49.23631213;23.9832765;48.96807154;8.737968385;18.24502287
1753;23.67905068;29.48754009;23.93228772;50.08384382;25.08572354;51.21984439;10.40202201;19.69380301
1752;26.62749102;32.16464802;26.64865431;50.95683166;26.34854955;53.49766686;12.26904951;21.19081243
1751;29.78986956;34.76678956;29.42011415;51.85398385;27.75229761;55.66657728;14.21244088;22.72669886
1750;32.95611628;36.95725075;31.94790999;52.79490293;29.38688502;57.33214775;16.02956392;24.29276616
1749;36.04827357;38.76619226;34.21512165;53.76924499;31.19535502;58.5395803;17.69246548;25.88047927
1748;39.01631304;40.29104588;36.25829602;54.76140506;33.0953707;59.41447359;19.20688511;27.48135462
1747;41.71493956;41.33772585;37.89473656;55.78016292;35.12532268;59.7325558;20.44410756;29.08463837
